h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,team_id,team_name,xG_last5_mean,xGA_last5_mean,xG_h,xG_a,xGA_h,xGA_a
a,1.74146,1.13035,1.74146,1.13035,"{'att': 247, 'def': 14}","{'att': 374, 'def': 20}",9,2,2,1,1.8083,w,2026-08-23 18:45:00,1,0,0,3,0.61111,111,AC Milan,,,0.0,1.74146,0.0,1.13035
h,3.21774,0.521597,3.21774,0.521597,"{'att': 202, 'def': 17}","{'att': 311, 'def': 27}",8,2,2,0,2.8367999999999998,w,2026-08-28 18:45:00,1,0,0,3,2.696143,111,AC Milan,1.74146,1.13035,3.21774,0.0,0.521597,0.0
h,0.922815,2.70103,0.922815,2.70103,"{'att': 301, 'def': 16}","{'att': 406, 'def': 19}",8,6,2,1,0.3498,w,2026-08-23 18:45:00,1,0,0,3,-1.7782149999999999,107,Atalanta,,,0.922815,0.0,2.70103,0.0
h,0.176344,1.23523,0.176344,1.23523,"{'att': 485, 'def': 16}","{'att': 287, 'def': 21}",3,5,1,0,0.3873,w,2026-08-31 18:45:00,1,0,0,3,-1.058886,107,Atalanta,0.922815,2.70103,0.176344,0.0,1.23523,0.0
h,2.0643,0.805148,2.0643,0.805148,"{'att': 176, 'def': 20}","{'att': 296, 'def': 29}",4,4,0,1,2.3401,l,2026-08-24 16:30:00,0,0,1,0,1.2591519999999998,97,Bologna,,,2.0643,0.0,0.805148,0.0
a,1.23523,0.176344,1.23523,0.176344,"{'att': 287, 'def': 21}","{'att': 485, 'def': 16}",5,3,0,1,2.3547,l,2026-08-31 18:45:00,0,0,1,0,1.058886,97,Bologna,2.0643,0.805148,0.0,1.23523,0.0,0.176344
a,1.2574,1.02972,1.2574,1.02972,"{'att': 308, 'def': 33}","{'att': 316, 'def': 26}",5,7,1,0,1.5115,w,2026-08-22 18:45:00,1,0,0,3,0.2276800000000001,116,Cagliari,,,0.0,1.2574,0.0,1.02972
h,0.323326,3.97224,0.323326,3.97224,"{'att': 443, 'def': 15}","{'att': 215, 'def': 22}",2,14,0,1,0.046799999999999994,l,2026-08-30 18:45:00,0,0,1,0,-3.6489140000000004,116,Cagliari,1.2574,1.02972,0.323326,0.0,3.97224,0.0
a,2.38585,2.12071,2.38585,2.12071,"{'att': 226, 'def': 25}","{'att': 365, 'def': 31}",6,7,1,1,1.5417,d,2026-08-22 16:30:00,0,1,0,1,0.26514000000000015,286,Como,,,0.0,2.38585,0.0,2.12071
a,1.0975,1.03232,1.0975,1.03232,"{'att': 228, 'def': 19}","{'att': 357, 'def': 17}",13,14,2,1,1.3644,w,2026-08-30 16:30:00,1,0,0,3,0.06518000000000002,286,Como,2.38585,2.12071,0.0,1.0975,0.0,1.03232
a,0.287976,3.77522,0.287976,3.77522,"{'att': 325, 'def': 17}","{'att': 212, 'def': 26}",3,8,0,4,0.0207,l,2026-08-24 18:45:00,0,0,1,0,-3.487244,110,Fiorentina,,,0.0,0.287976,0.0,3.77522
h,1.8162,1.95272,1.8162,1.95272,"{'att': 129, 'def': 29}","{'att': 208, 'def': 31}",15,7,0,3,1.2804,l,2026-08-29 16:30:00,0,0,1,0,-0.13651999999999997,110,Fiorentina,0.287976,3.77522,1.8162,0.0,1.95272,0.0
h,0.365497,2.61714,0.365497,2.61714,"{'att': 247, 'def': 25}","{'att': 121, 'def': 24}",4,12,0,1,0.15560000000000002,l,2026-08-23 16:30:00,0,0,1,0,-2.251643,112,Frosinone,,,0.365497,0.0,2.61714,0.0
a,1.95272,1.8162,1.95272,1.8162,"{'att': 208, 'def': 31}","{'att': 129, 'def': 29}",7,15,3,0,1.4712,w,2026-08-29 16:30:00,1,0,0,3,0.13651999999999997,112,Frosinone,0.365497,2.61714,0.0,1.95272,0.0,1.8162
h,0.500846,1.15739,0.500846,1.15739,"{'att': 228, 'def': 15}","{'att': 260, 'def': 27}",4,17,0,2,0.7296,l,2026-08-22 18:45:00,0,0,1,0,-0.6565439999999999,101,Genoa,,,0.500846,0.0,1.15739,0.0
a,0.743486,2.11324,0.743486,2.11324,"{'att': 235, 'def': 25}","{'att': 385, 'def': 32}",6,13,0,1,0.4272,l,2026-08-30 18:45:00,0,0,1,0,-1.369754,101,Genoa,0.500846,1.15739,0.0,0.743486,0.0,2.11324
h,1.5385,1.21666,1.5385,1.21666,"{'att': 180, 'def': 15}","{'att': 492, 'def': 26}",9,1,4,1,1.6129,w,2026-08-22 16:30:00,1,0,0,3,0.3218399999999999,106,Inter,,,1.5385,0.0,1.21666,0.0
a,3.97224,0.323326,3.97224,0.323326,"{'att': 215, 'def': 22}","{'att': 443, 'def': 15}",14,2,1,0,2.9238,w,2026-08-30 18:45:00,1,0,0,3,3.6489140000000004,106,Inter,1.5385,1.21666,0.0,3.97224,0.0,0.323326
a,2.61714,0.365497,2.61714,0.365497,"{'att': 121, 'def': 24}","{'att': 247, 'def': 25}",12,4,1,0,2.7569,w,2026-08-23 16:30:00,1,0,0,3,2.251643,98,Juventus,,,0.0,2.61714,0.0,0.365497
h,1.82242,0.200754,1.82242,0.200754,"{'att': 259, 'def': 41}","{'att': 209, 'def': 12}",16,4,2,0,2.6207000000000003,w,2026-08-29 18:45:00,1,0,0,3,1.6216659999999998,98,Juventus,2.61714,0.365497,1.82242,0.0,0.200754,0.0
a,0.805148,2.0643,0.805148,2.0643,"{'att': 296, 'def': 29}","{'att': 176, 'def': 20}",4,4,1,0,0.47109999999999996,w,2026-08-24 16:30:00,1,0,0,3,-1.2591519999999998,96,Lazio,,,0.0,0.805148,0.0,2.0643
h,2.11324,0.743486,2.11324,0.743486,"{'att': 385, 'def': 32}","{'att': 235, 'def': 25}",13,6,1,0,2.3868,w,2026-08-30 18:45:00,1,0,0,3,1.369754,96,Lazio,0.805148,2.0643,2.11324,0.0,0.743486,0.0
a,2.45246,3.19474,2.45246,3.19474,"{'att': 394, 'def': 21}","{'att': 115, 'def': 21}",5,4,2,0,0.9288,w,2026-08-23 16:30:00,1,0,0,3,-0.74228,243,Lecce,,,0.0,2.45246,0.0,3.19474
h,1.20256,4.13617,1.20256,4.13617,"{'att': 416, 'def': 19}","{'att': 221, 'def': 34}",1,20,0,4,0.0998,l,2026-08-31 16:30:00,0,0,1,0,-2.93361,243,Lecce,2.45246,3.19474,1.20256,0.0,4.13617,0.0
a,1.21666,1.5385,1.21666,1.5385,"{'att': 492, 'def': 26}","{'att': 180, 'def': 15}",1,9,1,4,1.1043999999999998,l,2026-08-22 16:30:00,0,0,1,0,-0.3218399999999999,271,Monza,,,0.0,1.21666,0.0,1.5385
h,1.89797,1.02273,1.89797,1.02273,"{'att': 243, 'def': 17}","{'att': 229, 'def': 17}",6,8,2,3,2.0464999999999995,l,2026-08-29 16:30:00,0,0,1,0,0.87524,271,Monza,1.21666,1.5385,1.89797,0.0,1.02273,0.0
a,1.15739,0.500846,1.15739,0.500846,"{'att': 260, 'def': 27}","{'att': 228, 'def': 15}",17,4,2,0,1.9599,w,2026-08-22 18:45:00,1,0,0,3,0.6565439999999999,105,Napoli,,,0.0,1.15739,0.0,0.500846
h,1.03232,1.0975,1.03232,1.0975,"{'att': 357, 'def': 17}","{'att': 228, 'def': 19}",14,13,1,2,1.3266,l,2026-08-30 16:30:00,0,0,1,0,-0.06518000000000002,105,Napoli,1.15739,0.500846,1.03232,0.0,1.0975,0.0
h,1.02972,1.2574,1.02972,1.2574,"{'att': 316, 'def': 26}","{'att': 308, 'def': 33}",7,5,0,1,1.1863000000000001,l,2026-08-22 18:45:00,0,0,1,0,-0.2276800000000001,230,Parma Calcio 1913,,,1.02972,0.0,1.2574,0.0
a,0.200754,1.82242,0.200754,1.82242,"{'att': 209, 'def': 12}","{'att': 259, 'def': 41}",4,16,0,2,0.22490000000000002,l,2026-08-29 18:45:00,0,0,1,0,-1.6216659999999998,230,Parma Calcio 1913,1.02972,1.2574,0.0,0.200754,0.0,1.82242
h,3.77522,0.287976,3.77522,0.287976,"{'att': 212, 'def': 26}","{'att': 325, 'def': 17}",8,3,4,0,2.9646,w,2026-08-24 18:45:00,1,0,0,3,3.487244,95,Roma,,,3.77522,0.0,0.287976,0.0
a,4.13617,1.20256,4.13617,1.20256,"{'att': 221, 'def': 34}","{'att': 416, 'def': 19}",20,1,4,0,2.8499,w,2026-08-31 16:30:00,1,0,0,3,2.93361,95,Roma,3.77522,0.287976,0.0,4.13617,0.0,1.20256
a,2.70103,0.922815,2.70103,0.922815,"{'att': 406, 'def': 19}","{'att': 301, 'def': 16}",6,8,1,2,2.5137,l,2026-08-23 18:45:00,0,0,1,0,1.7782149999999999,104,Sassuolo,,,0.0,2.70103,0.0,0.922815
h,1.54523,1.50213,1.54523,1.50213,"{'att': 362, 'def': 21}","{'att': 201, 'def': 9}",12,6,2,1,1.4109,w,2026-08-29 16:30:00,1,0,0,3,0.04310000000000014,104,Sassuolo,2.70103,0.922815,1.54523,0.0,1.50213,0.0
